nama,harga,kategori
BPOM SOMETHINC ACNEDOT Treatment Low pH Cleanser Sabun Cuci Muka Kulit Berjerawat Facial Wash,99000,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
Emina bright stuff Face Wash 100 ml Sabun Cuci Muka Cleanser Wajah,25900,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
ORIGINAL RODEOS Facial Foam Hydroxereve Sabun Cuci Muka Semua Jenis Kulit mencerahkan dan memudarkan bekas jerawat,75000,"{'id': 2281, 'name': 'Pembersih Wajah Pria', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Pria'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-pria'}"
BIOAQUA Cat's Claw Moisturizing Rose Jelly Soap 110g Sabun Cuci Muka dan Badan BPOM COD Import Impor Murah,39800,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
Bagus FRESH 99 Antibacterial Hand Wash Pouch 375 ml - Luwak Coffee - Sabun Cuci Tangan,10720,"{'id': 1064, 'name': 'Perlengkapan Kebersihan', 'structure': ['Rumah Tangga', 'Perlengkapan Kebersihan'], 'url': 'https://www.bukalapak.com/c/rumah-tangga/perlengkapan-kebersihan'}"
Sari Lerak 550ml Sabun Cuci Batik,29000,"{'id': 1064, 'name': 'Perlengkapan Kebersihan', 'structure': ['Rumah Tangga', 'Perlengkapan Kebersihan'], 'url': 'https://www.bukalapak.com/c/rumah-tangga/perlengkapan-kebersihan'}"
Dispenser Sabun Cuci Piring Free Sponge - Soap Pump Dispenser,10900,"{'id': 1064, 'name': 'Perlengkapan Kebersihan', 'structure': ['Rumah Tangga', 'Perlengkapan Kebersihan'], 'url': 'https://www.bukalapak.com/c/rumah-tangga/perlengkapan-kebersihan'}"
FastClean Dishwash - Sabun cuci piring 5 Liter,40000,"{'id': 1064, 'name': 'Perlengkapan Kebersihan', 'structure': ['Rumah Tangga', 'Perlengkapan Kebersihan'], 'url': 'https://www.bukalapak.com/c/rumah-tangga/perlengkapan-kebersihan'}"
Sabun Cuci Muka - Kahf Gentle Exfoliating Face Scrub - 100 mL,35000,"{'id': 2281, 'name': 'Pembersih Wajah Pria', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Pria'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-pria'}"
Ponds Pure White Bright Hitam 100 ml Facial Foam Sabun Cuci Muka With Charcoal Japanese Green Tea D Toxx Japan,25300,"{'id': 2281, 'name': 'Pembersih Wajah Pria', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Pria'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-pria'}"
BPOM Npure Face Wash Foam Centella Asiatica Cica Series Facial Wash Sabun Cuci Muka Pembersih Wajah,81000,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
Promo - Original Sabun Cuci Muka Pria Cloris Men Soap Acne Jerawat Flek Kusam,35000,"{'id': 2281, 'name': 'Pembersih Wajah Pria', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Pria'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-pria'}"
Eversince Face The Day Face Wash Gel 125ml Sabun Cuci Muka,59250,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
Fair and lovely Facial Foam 100gr / Sabun Cuci Muka Multivitamin Fair and Lovely,19500,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
Men's Reaction facial wash sabun jerawat cuci muka pria cleanser wajah BPOM,130000,"{'id': 2281, 'name': 'Pembersih Wajah Pria', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Pria'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-pria'}"
Glikoderm Clarifying Facial Cleanser 100 ml - glycoderm sabun cuci muka,27700,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
Emina Bright Stuff WHIP Face Wash 50 ml Sabun Cuci Muka Pembersih Wajah Ekstra Plum,18700,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
BPOM Bio Herbal Seaweed Face Wash Toner / Facial Wash Sabun Cuci Muka  Brightening & Moisturizing,9900,"{'id': 3766, 'name': 'Toner Wajah', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Toner Wajah'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/toner-wajah'}"
Pure Baby Liquid Cleanser 450ml - Sabun Cuci Botol,32000,"{'id': 1064, 'name': 'Perlengkapan Kebersihan', 'structure': ['Rumah Tangga', 'Perlengkapan Kebersihan'], 'url': 'https://www.bukalapak.com/c/rumah-tangga/perlengkapan-kebersihan'}"
Pure Baby Liquid Cleanser 450ml - PAKET COMBO - Sabun Cuci Botol,96000,"{'id': 1064, 'name': 'Perlengkapan Kebersihan', 'structure': ['Rumah Tangga', 'Perlengkapan Kebersihan'], 'url': 'https://www.bukalapak.com/c/rumah-tangga/perlengkapan-kebersihan'}"
DISPENSER SABUN CUCI PIRING PUMP - Tempat Sabun Holder Spons,19500,"{'id': 1064, 'name': 'Perlengkapan Kebersihan', 'structure': ['Rumah Tangga', 'Perlengkapan Kebersihan'], 'url': 'https://www.bukalapak.com/c/rumah-tangga/perlengkapan-kebersihan'}"
Sari Lerak 275 ml - Sabun Cuci Batik,19000,"{'id': 1064, 'name': 'Perlengkapan Kebersihan', 'structure': ['Rumah Tangga', 'Perlengkapan Kebersihan'], 'url': 'https://www.bukalapak.com/c/rumah-tangga/perlengkapan-kebersihan'}"
Bagus FRESH 99 Antibacterial Hand Wash Pouch 375 ml - Lemon - Sabun Cuci Tangan,10720,"{'id': 4045, 'name': 'Sabun Cuci Tangan', 'structure': ['Perawatan & Kecantikan', 'Perawatan Kaki, Tangan, dan Kuku', 'Sabun Cuci Tangan'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-kaki-tangan-dan-kuku/sabun-cuci-tangan'}"
